Society,SocialInterpretation,FAMILY,MATE,FRIENDS,COHABITANTS,COLLEAGUES,ALONE,SPORTS,EXAM,FOOD,EATING,DRINKING,COMMUNICATING,TV,COMMUTING,COMPUTER,VIDEOGAMES,READING,WORKING,SHOPPING,GROOMING,WAITING,SLEEP,MUSIC,TELEPHONE,HOME,BATHROOM,KITCHEN,BED,UNIVERSITY,BAR,DIST,VOLUME,MOVEMENTS
Austria,DUTY,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.938163220159707,26.526528494747946,0.08817344113974282
Austria,INTELLECT,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.408967265831666,29.428766203649,0.329364375010018
Austria,ADVERSITY,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0357437952329307,81.86354541142103,0.7719902269866226
Austria,MATING,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.38735886630132393,14.757829201535026,0.14852150961281357
Austria,POSITIVITY,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5641031080469214,71.10923080166225,0.5850786961229265
Austria,NEGATIVITY,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5146414813290573,52.007990839399994,0.5781554431295595
Austria,DECEPTION,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5399171260199501,58.217594137258274,0.5781774927966261
Austria,SOCIALITY,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4028435072798247,44.575804162824724,0.5595067625928516
Austria,DUTY,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.6819014383115629,21.77435632280831,0.11716913004607131
Austria,INTELLECT,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.201943054566044,34.41051244887436,0.27254906478903157
Austria,ADVERSITY,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.333681024723977,95.35963687709472,0.841590982111935
Austria,MATING,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.30513949745018354,50.980383715409154,0.24372267571049483
Austria,POSITIVITY,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.9610529861693138,50.55696202048602,0.6629924130303906
Austria,NEGATIVITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.7256434047589442,47.13197625680425,0.7309041277603875
Austria,DECEPTION,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4180224348529488,66.52728951649108,0.4854656892917075
Austria,SOCIALITY,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.8053886517839208,64.41798218616488,0.6609514276160364
Austria,DUTY,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.827032869499723,33.425947455507554,0.10215977501813549
Austria,INTELLECT,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.795742195963933,31.29029599470998,0.0033393601539944695
Austria,ADVERSITY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.497251671071744,72.79895040522054,0.8178838614713109
Austria,MATING,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5236844522111855,43.62230522624934,0.1937725474663834
Austria,POSITIVITY,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0243337679890219,74.43619364693322,0.5288925819808308
Austria,NEGATIVITY,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.40476874928065154,67.44278834937198,0.6889736380934055
Austria,DECEPTION,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.570824361090723,50.382858486151264,0.5596559621352306
Austria,SOCIALITY,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2221848337626402,65.97477644605928,0.6801689786783094
Austria,DUTY,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.7241032691155234,29.30326873701001,-0.04049933408014178
Austria,INTELLECT,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.052878453398275,24.03010781117031,0.1172511057519651
Austria,ADVERSITY,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.811331946579856,91.72291234159525,0.8599313302386473
Austria,MATING,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.34786839001948455,9.50658524337959,0.11432583717724841
Austria,POSITIVITY,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6661134018178849,38.60741282676562,0.48687176296104223
Austria,NEGATIVITY,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9886895985352203,56.12318896611028,0.7016607103462733
Austria,DECEPTION,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.5714807054212901,41.2043255195428,0.5604675505183898
Austria,SOCIALITY,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.139314465772468,55.81452563415637,0.513623690809726
Austria,DUTY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6133655769657784,35.78080127143426,0.2575107795553466
Austria,INTELLECT,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.5828984303630182,9.042097164974798,0.017506736151624125
Austria,ADVERSITY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.1775336006729407,92.25774256529881,1.028811221628028
Austria,MATING,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.37135061369385014,23.533110031129723,0.1857737633217944
Austria,POSITIVITY,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0955918434070868,70.63818579536093,0.6291051955975112
Austria,NEGATIVITY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7515992818030304,43.01547416155536,0.567195664344767
Austria,DECEPTION,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5452272994057983,55.917613212218434,0.6656291472132118
Austria,SOCIALITY,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.9669577160527807,56.34372726330537,0.5218774381216876
Austria,DUTY,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3796424861590729,22.70261556672875,0.25340297553664093
Austria,INTELLECT,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1.9664103262079449,41.98444149454218,0.21917979617383998
Austria,ADVERSITY,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.8179716379562945,65.89546999393097,0.6890406091407814
Austria,MATING,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.3753402430455916,39.883911846716586,0.003596484436456382
Austria,POSITIVITY,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8676733596582044,72.7842182711862,0.7966276423056177
Austria,NEGATIVITY,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.2196023521593222,76.46643793187833,0.743939196241556
Austria,DECEPTION,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.42147768456271706,58.79994324735295,0.6872300868565451
Austria,SOCIALITY,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0341044247857154,47.045891033205045,0.5726999795138958
Austria,DUTY,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.1296103202083343,20.674297428748787,0.14429586722907456
Austria,INTELLECT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.8876766473758881,29.54679867629613,0.22080128071775296
Austria,ADVERSITY,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.2803293438280483,79.29250804809946,0.6906438725185835
Austria,MATING,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.29617838330098095,29.832792470468885,0.4034941624045049
Austria,POSITIVITY,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8491860111863492,57.74471587333744,0.535703532299372
Austria,NEGATIVITY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0090823816665495,66.58831244719201,0.5053546235265455
Austria,DECEPTION,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.2507701895075882,67.25296653645893,0.7644198597257303
Austria,SOCIALITY,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8120030562779144,69.30788130856703,0.6938683429806123
Austria,DUTY,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.6811512192162658,31.46000289170643,0.18591309192678807
Austria,INTELLECT,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2.445353264893266,31.168268332637137,0.30074111300270634
Austria,ADVERSITY,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.90241106694417,79.84292556596347,0.679308448871075
Austria,MATING,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7482249411049778,30.08798620317873,0.24147418892421765
Austria,POSITIVITY,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1627211236535477,67.14829090952456,0.746810153684
Austria,NEGATIVITY,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.495792665146439,57.63161941367306,0.5304045469785489
Austria,DECEPTION,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.20649000883533536,64.63045222697197,0.5854977985484313
Austria,SOCIALITY,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9452730064516264,49.08374024248133,0.49592105566364486
Austria,DUTY,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5254439752359455,16.85787559468621,0.08377683311124028
Austria,INTELLECT,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.1018029134307703,20.246609666859012,0.20813057789896605
Austria,ADVERSITY,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5451300193304052,79.57719074825839,0.8409950416623272
Austria,MATING,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.5007681170103226,34.843365568743835,0.2757360630567005
Austria,POSITIVITY,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.2257488356065296,63.538413955043715,0.6448993364757082
Austria,NEGATIVITY,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.8879863639530379,64.78056408941349,0.5869479995170341
Austria,DECEPTION,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.4983368828615379,57.1534994976439,0.7540608416651563
Austria,SOCIALITY,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.261132590945597,62.11117200241659,0.543812612957346
Austria,DUTY,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5854874280900493,30.389491645126434,0.2266427742417156
Austria,INTELLECT,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.806845566885427,28.747775080742276,0.3495762106370911
Austria,ADVERSITY,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.7702273680011371,68.16296765519633,0.9033339348976516
Austria,MATING,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.27531089541069853,33.059170184708194,0.18310247301128546
Austria,POSITIVITY,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8839074401547532,49.472487545774555,0.6148937187442388
Austria,NEGATIVITY,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.6306238903352455,79.27420061367333,0.5273756278724948
Austria,DECEPTION,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.38814401340368254,48.01729336885293,0.6636884109754227
Austria,SOCIALITY,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0343881117477567,67.5730452480222,0.7050831188332773
Austria,DUTY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2270122258665812,24.45212876556615,0.290205804367608
Austria,INTELLECT,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.149376768556494,50.139848776145485,0.06241222926321044
Austria,ADVERSITY,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.666329025852491,102.04398049799279,0.7793587093919808
Austria,MATING,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6404265312230218,34.155565900259205,0.09319843981147996
Austria,POSITIVITY,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.7384608820334128,65.63723524925341,0.6566333959687995
Austria,NEGATIVITY,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.4893460678435882,41.105837351815836,0.6541264858385486
Austria,DECEPTION,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42875476422956693,69.3423323109174,0.6113181884287279
Austria,SOCIALITY,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.4276337041185493,45.84532074474262,0.6163390898447019
Austria,DUTY,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.7019728898645743,18.55640923542152,0.35893928681884296
Austria,INTELLECT,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.1501936438132616,47.68037683462328,0.13385033398967155
Austria,ADVERSITY,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.7207466519822585,89.81007768825904,0.832788303659968
Austria,MATING,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6429464208433111,31.343863675293022,0.15727883217430666
Austria,POSITIVITY,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.7788294381299363,65.72643062594538,0.8098077420941089
Austria,NEGATIVITY,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.1047148595630059,68.04564436323831,0.5901502293702484
Austria,DECEPTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.34470635770485286,55.86960324031326,0.5362376168462331
Austria,SOCIALITY,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9656758119870366,64.22883989981416,0.7034589132675555
Austria,DUTY,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.3463469317657042,33.133262665814705,0.3053278585687481
Austria,INTELLECT,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.0115186863013803,23.461884174023215,0.21065685687917737
Austria,ADVERSITY,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9436717052083736,87.95692478517068,0.810398823208937
Austria,MATING,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.3847499592273133,33.388171744009334,0.23848517625436952
Austria,POSITIVITY,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8477432510055224,58.65733103694684,0.7587991556524889
Austria,NEGATIVITY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2364316953659622,52.410069292496196,0.451264800901821
Austria,DECEPTION,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.3835451746245923,53.033860240882504,0.5109888164458032
Austria,SOCIALITY,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9303708138926617,78.72506939413148,0.4469471753311334
Austria,DUTY,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9185600247493626,19.150865406252404,0.3340780847541665
